track_name,price,rating_count_tot,prime_genre
The Masters Tournament,0,148160,Sports
myAT&T,0,108507,Utilities
SFR TV,0,46,Entertainment
"Shutterfly: Prints, Photo Books, Cards Made Easy",0,51427,Photo & Video
StickWars,0.99,53821,Games
Indeed Job Search,0,38681,Business
World Cup Table Tennis?,0.99,17776,Games
WhatsApp Messenger,0,287589,Social Networking
"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,Productivity
Zillow Real Estate - Homes for Sale & for Rent,0,342969,Lifestyle
2XL Supercross,4.99,6093,Games
Pocket Tanks Deluxe,4.99,5452,Games
Wells Fargo Mobile,0,43064,Finance
radio.de - Der Radioplayer,0,64,Music
AutoScout24 - mobile used & new car market,0,220,Productivity
Sky Burger - Build & Match Food Free,0,114096,Games
MindNode – Delightful Mind Mapping,9.99,1296,Productivity
Packing Pro,2.99,1293,Travel
USAA Mobile,0,19946,Finance
The Moron Test,0,88613,Entertainment
Sunday Lawn,0.99,107727,Games
Peggle Classic,0.99,21416,Games
SmartGo Player,2.99,533,Games
I Am T-Pain 2.0,2.99,32650,Music
TextNow - Unlimited Text + Calls,0,164963,Social Networking
Boating Weather,1.99,141,Weather
Best Buy,0,80424,Shopping
I Dig It,0.99,17190,Games
Unblock Me,0.99,7973,Games
Sonic The Hedgehog,2.99,19621,Games
10 Pin Shuffle Pro Bowling,3.99,7315,Games
Sky News,0,118,News
"ESPN: Get scores, news, alerts & watch live sports",0,290996,Sports
LiveATC Air Radio,3.99,2785,Travel
The Sims 3,6.99,54408,Games
"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,Games
Guess My Age  Math Magic,0,123190,Education
Crush the Castle,0.99,23810,Games
2016 U.S. Open Golf Championship,0,54192,Sports
"The Championships, Wimbledon 2016 - Tennis Grand Slam",0,20953,Sports
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,Music
NBC News,0,32881,News
"Grindr - Gay and same sex guys chat, meet and date",0,23201,Social Networking
Whole Foods Market,0,17906,Shopping
NAVIGON Europe,74.99,927,Navigation
Virtual Families,1.99,18920,Games
Sparkasse+,0.99,30,Finance
Sparkasse - Your mobile branch,0,77,Finance
Sleep Cycle alarm clock,0,104539,Health & Fitness
FACEinHOLE?,0.99,4016,Photo & Video
Harvest - Select the Best Produce,1.99,299,Food & Drink
WORMS,1.99,5758,Games
Pixel Starships? : 8Bit MMORPG,0,5565,Games
Traffic Rush,0.99,213092,Games
MyRadar NOAA Weather Radar Forecast,0,150158,Weather
Resident Evil 4: PLATINUM,4.99,6046,Games
"Waze - GPS Navigation, Maps & Real-time Traffic",0,345046,Navigation
Cartoon Wars,0.99,35930,Games
Moto X Mayhem,0.99,22557,Games
Fantasy Football Manager - FFM for FPL,0.99,292,Sports
Spotify Music,0,878563,Music
McDo France,0,22,Food & Drink
PGA Championship 2016 – Baltusrol Golf Club,0,10472,Sports
BFMTV : l'info en continu,0,115,News
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.99,13915,Weather
Spider:  The Secret of Bryce Manor,1.99,6780,Games
My Measures PRO,7.99,1701,Productivity
Food Additives Checker (E Numbers),1.99,6,Health & Fitness
SFR Mon Compte,0,19,Utilities
Baby Connect (Activity Log),4.99,3483,Medical
Epson iPrint,0,2838,Photo & Video
Mad Libs,0,117889,Entertainment
BATTLE BEARS: Zombies!,0.99,50710,Games
Hurricane Tracker,2.99,3960,Weather
NFL Sunday Ticket,0,24258,Entertainment
2016 US Open Tennis Championships,0,37522,Sports
Dropbox,0,49578,Productivity
Wa Kingyo - Goldfish Pond,0.99,626,Entertainment
Monkey Preschool Lunchbox,1.99,9286,Games
Yahoo Fantasy Sports,0,190670,Sports
Gaia GPS Classic,19.99,2429,Navigation
Geocaching?,0,12811,Navigation
Camera+,1.99,32338,Photo & Video
Alter Ego,4.99,262,Games
Parking Mania,0.99,9657,Games
Sudoku?,2.99,18332,Games
Period Tracker Lite,0,53620,Health & Fitness
Camera Plus: For Macro Photos & Remote Photography,0.99,38533,Photo & Video
The perfect Egg timer,0.99,40,Food & Drink
Letter Quiz - alphabet tracing for kids,1.99,472,Games
Starbucks,0,303856,Food & Drink
央视影音-海量央视内容高清直播,0,2070,Sports
Bloons TD,2.99,7941,Games
Weight Watchers,0,136833,Health & Fitness
"CNN: Breaking US & World News, Live Video",0,112886,News
Gilt,0,26353,Shopping
TRUTH or DARE!!! - FREE,0,171055,Entertainment
Canabalt,2.99,4540,Games
Alipay - Makes Life Easy,0,1926,Lifestyle
Scanner911 Pro,3.99,14345,News
Daily Teachings,4.99,1340,Lifestyle
Scanner Pro - PDF document scanner app with OCR,3.99,31912,Business
Twitter,0,354058,News
"Trainline UK: Live Train Times, Tickets & Planner",0,248,Travel
CBS News - Watch Free Live Breaking News,0,11691,News
iOvilus,1.99,381,Entertainment
The Impossible Quiz!,0,18884,Entertainment
WolframAlpha,2.99,7410,Reference
Catan,1.99,15175,Games
ScanBizCards Business Card Reader,0.99,3166,Business
"Walgreens – Pharmacy, Photo, Coupons and Shopping",0,88885,Shopping
King of Dragon Pass,9.99,882,Games
Stylebook,3.99,1729,Lifestyle
NBA,0,43682,Sports
Blower,0.99,861,Entertainment
My Cycles Period and Ovulation Tracker,0,7469,Health & Fitness
"Kmart – Download Now, Shop Online & Pick Up Today!",0,4186,Shopping
优酷视频,0,4885,Entertainment
DOOM Classic,4.99,3970,Games
SoundCloud - Music & Audio,0,135744,Music
imo video calls and chat,0,18841,Social Networking
Plane Finder - Flight Tracker,3.99,1438,Navigation
"Runtastic Running, Jogging and Walking Tracker",0,10298,Health & Fitness
iFiles,0.99,1842,Productivity
TeachMe: Kindergarten,1.99,2548,Education
Moorhuhn Deluxe - Crazy Chicken,0.99,319,Games
Victoria’s Secret – The Sexiest Bras & Lingerie,0,34507,Shopping
MONOPOLY Game,0.99,26482,Games
n-tv Nachrichten,0,273,News
Shazam Encore,2.99,8331,Music
Harry Potter: Spells,0.99,17023,Games
First Words Deluxe,4.99,1101,Games
Clay Hunt,0.99,1193,Games
Dream Team - be your own fantasy football manager,0,35,Sports
Jet Car Stunts,1.99,4088,Games
Call of Duty: Zombies,4.99,63943,Games
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0,70286,Shopping
AirWatch Agent,0,1150,Business
Shop Savvy Barcode Scanner - Price Compare & Deals,0,54630,Shopping
Voice Changer Plus,0,98777,Entertainment
CatPaint,0.99,649,Photo & Video
Redbox,0,60236,Entertainment
クックパッド - No.1料理レシピ検索アプリ,0,115,Food & Drink
Trenches,0.99,26732,Games
The Christmas List,1.99,2722,Shopping
Macy's,0,11013,Shopping
Calorie Counter & Diet Tracker by MyFitnessPal,0,507706,Health & Fitness
BlaBlaCar - Trusted Carpooling,0,397,Travel
Refills Calendar - Scheduler - Note,9.99,196,Productivity
5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,News
Hipstamatic,2.99,12557,Photo & Video
Sing Karaoke Songs Unlimited with StarMaker,0,26227,Music
TurboScan? Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,Business
Positivity with Andrew Johnson,2.99,282,Health & Fitness
Rat On A Scooter XL,0.99,19296,Games
IMDb Movies & TV - Trailers and Showtimes,0,183425,Entertainment
Angry Birds,0,824451,Games
DB Navigator,0,512,Travel
Video Calls with Santa,2.99,315,Lifestyle
Voyages-sncf.com : book train and bus tickets,0,268,Travel
The Font Game,1.99,438,Games
ImmobilienScout24: Real Estate Search in Germany,0,187,Navigation
Grand Theft Auto: Chinatown Wars,4.99,15142,Games
Southwest Airlines,0,30552,Travel
The Sims 3 World Adventures,2.99,9744,Games
Star Chart,0,13482,Education
TaxCaster – Free tax refund calculator,0,17516,Finance
Glow Hockey 2 FREE,0,186653,Games
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,Entertainment
TV SPIELFILM - TV Programm mit Live TV,0,81,Entertainment
All-in-1 Logic GameBox,0.99,9854,Games
Roadside America,2.99,1093,Travel
Pocket Yoga,2.99,4475,Health & Fitness
Sonic the Hedgehog 2,2.99,9405,Games
Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,Health & Fitness
CamCard - Business card scanner & reader,0.99,2923,Business
This American Life,2.99,8657,Entertainment
Timetracks - Slit-Scan Camera,0.99,70,Photo & Video
franceinfo - l'actualité & les élections en direct,0,162,News
DOUBUTSU URANAI?-Animal Fortune-,0.99,5,Lifestyle
Doodle Army,0.99,12354,Games
Ameba,0,269,Social Networking
Plants vs. Zombies,0.99,426463,Games
Weibo,0,7265,Social Networking
大众点评-发现品质生活,0,844,Lifestyle
AlloCiné : Cinéma et Séries,0,101,Entertainment
"Badoo - Meet New People, Chat, Socialize.",0,34428,Social Networking
Flick Kick Field Goal,1.99,36946,Games
Venmo,0,21090,Finance
"Dungeons & Such Treasures,Collectibles and Dragons",2.99,653,Games
"StarMap 3D+: Night Sky, Astronomy, Star View Guide",3.99,1118,Education
Shift Worker,1.99,348,Productivity
"Spy Calc - Hide pictures, videos, documents",1.99,207,Utilities
Waterlogged - Daily Hydration Tracker,0,5000,Health & Fitness
MyNetDiary PRO - Calorie Counter and Food Diary,3.99,15188,Health & Fitness
The Washington Post Classic,0,18572,News
F-Sim Space Shuttle,4.99,6403,Games
"Groupon - Deals, Coupons & Discount Shopping App",0,417779,Shopping
Learn to Speak Spanish Fast With MosaLingua,4.99,9,Education
"Coaster VR, Extreme Endless 3D Stereograph",0.99,107,Entertainment
Parents Calling Easter Bunny,1.99,72,Lifestyle
Sporcle,2.99,2044,Games
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0,16683,Sports
DOOM II RPG,0.99,1455,Games
STREET FIGHTER IV,4.99,15056,Games
Dr. Seuss Camera - The Cat in the Hat Edition,0.99,249,Photo & Video
FINAL FANTASY,7.99,6091,Games
FINAL FANTASY II,7.99,2754,Games
Worms 2: Armageddon,4.99,9870,Games
SoundHound Song Search & Music Player,0,82602,Music
TeachMe: 1st Grade,1.99,762,Education
TeachMe: 3rd Grade,1.99,160,Education
ヤフオク! 利用者数NO.1のオークション、フリマアプリ,0,9,Shopping
Kik,0,260965,Social Networking
Slow Shutter Cam,1.99,2305,Photo & Video
PeakFinder Earth,4.99,137,Travel
AgingBooth,0,11999,Entertainment
"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",1.99,1995,Photo & Video
Tabs & Chords by Ultimate Guitar - learn and play,2.99,35045,Music
"Dude, your car!",0.99,343,Entertainment
Drawing Pad,1.99,1824,Entertainment
ESPN Tournament Challenge,0,39642,Sports
Solitaire,0,679055,Games
Notability,9.99,17594,Productivity
Rubik's? Cube,1.99,3531,Games
Super Why! Power to Read,3.99,1080,Education
Amex Mobile,0,11421,Finance
Fruit Ninja Classic,1.99,698516,Games
Animation Creator HD,3.99,4497,Entertainment
Plants vs. Zombies HD,0.99,163598,Games
SCRABBLE Premium for iPad,9.99,39678,Games
Graphic - illustration and design,8.99,1809,Productivity
Ship Finder,4.99,624,Navigation
Photogene ?,2.99,3761,Photo & Video
Hurricane HD,3.99,353,Weather
Star Walk HD - Night Sky Map,4.99,6503,Education
Space War HD,0.99,71,Games
Netflix,0,308844,Entertainment
forScore,9.99,3909,Music
ComicGlass [ComicReader],2.99,308,Utilities
iAnnotate PDF,9.99,11156,Productivity
ArtStudio for iPad - Draw Sketch and Paint,4.99,8542,Photo & Video
Call of Duty: Zombies HD,4.99,5853,Games
Small World 2,1.99,1506,Games
Qzone,0,1649,Social Networking
ABC – Watch Live TV & Stream Full Episodes,0,78890,Entertainment
Fieldrunners for iPad,3.99,2147,Games
Angry Birds HD,0,89110,Games
"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",0,208648,Weather
Do Not Press The Red Button HD,1.99,856,Entertainment
"Digits, the calculator for humans",3.99,7825,Productivity
"PDF Reader Pro Edition - Annotate,edit & sign PDFs",9.99,7033,Business
National Geographic World Atlas,1.99,4255,Reference
FileBrowser - Access files on remote computers,5.99,3230,Utilities
Dictionary.com Dictionary & Thesaurus for iPad,0,54175,Reference
Animation & Drawing by Do Ink,4.99,308,Education
AirCoaster - Roller Coaster Builder,0.99,2602,Games
"Documents 6 - File manager, PDF reader and browser",0,29110,Productivity
The World Factbook for iPad,1.99,273,Reference
Photo Transfer App - Easy backup of photos+videos,0,15654,Photo & Video
TwitCasting Viewer - Watch Live Video & Radio,0,189,Entertainment
Ski Tracks,0.99,829,Navigation
The Photographer's Ephemeris,8.99,663,Photo & Video
?Sudoku,0,359832,Games
"StubHub - Tickets to Sports, Concerts and Theatre",0,9011,Entertainment
"Runtastic PRO Running, Jogging and Fitness Tracker",4.99,17667,Health & Fitness
OverDrive – Library eBooks and Audiobooks,0,65450,Book
Hotels & Vacation Rentals by Booking.com,0,31261,Travel
The Impossible Game,0.99,9885,Games
PrankDial - #1 Prank Call App,0,11091,Entertainment
Fox News,0,132703,News
Live Cams - HD,4.99,286,Travel
QR Reader for iPhone,0,12683,Utilities
Uber,0,49466,Travel
WEB.DE Mail,0,168,Productivity
iBunkoHD,6.99,114,Book
Hurricane Tracker For iPad,2.99,2798,Weather
"6play, TV en direct et en replay",0,62,Entertainment
AudioNote - Notepad and Voice Recorder,9.99,1756,Business
Breathing Zone: Guided Breathing for Mindfulness,3.99,511,Health & Fitness
My Virtual Girlfriend - Deluxe Dating Sim,0.99,2609,Games
Fake-A-Location Free ?,0,354,Social Networking
QQ 浏览器-搜新闻、选小说漫画、看视频,0,1750,Utilities
Math Ninja HD,1.99,1121,Games
Résultats Foot en Direct,0,339,Sports
Chase Mobile,0,34322,Finance
Captio - Email yourself with 1 tap,1.99,162,Productivity
My Vodafone,0,8,Utilities
Math Bingo,2.99,4386,Education
?Sudoku +,4.99,5397,Games
"Tango - Free Video Call, Voice and Chat",0,75412,Social Networking
MeetMe - Chat and Meet New People,0,97072,Social Networking
WebMD for iPad,0,9142,Health & Fitness
GeoBee Challenge HD by National Geographic,1.99,1957,Games
"OPlayer HD - video player, classic media streaming",4.99,2944,Entertainment
TouchRetouch,1.99,588,Photo & Video
Cat Physics,1.99,40552,Games
随手记（专业版）-好用的记账理财工具,0.99,1267,Finance
AnkiMobile Flashcards,24.99,753,Education
WeatherPro for iPad,2.99,725,Weather
Real英会話,3.99,45,Education
BATTLE BEARS -1,0.99,14910,Games
Crash Bandicoot Nitro Kart 2,2.99,3064,Games
WIRED Magazine,0,12074,News
Popplet,4.99,336,Productivity
Notes Plus,9.99,6257,Productivity
Color Splash for iPad,1.99,2445,Photo & Video
Robot Unicorn Attack,0.99,22150,Games
SimSimi,0,23530,Social Networking
Carcassonne,9.99,10846,Games
Apple Store,0,55171,Shopping
TED,0,5782,Education
Météo-France,0,24,Weather
Ma Banque,0,17,Finance
Doodle God?,1.99,35759,Games
Carnivores: Dinosaur Hunter Pro,2.99,18306,Games
Blackboard Mobile Learn?,0,13567,Education
"SEC Football Schedules, Scores & Radio",1.99,240,Sports
Hulu: Watch TV Shows & Stream the Latest Movies,0,56170,Entertainment
かなもじ,3.99,19,Education
360 Panorama,1.99,10463,Photo & Video
"Mega Millions & Powerball - lottery games in the US with winning number results, lotto jackpots and prize payouts",0,1255,Lifestyle
Cake Doodle,0.99,5803,Games
The Impossible Quiz! for iPad,1.99,227,Games
Boating USA,9.99,342,Navigation
Diptic,2.99,7578,Photo & Video
Family Feud? HD,6.99,1156,Games
Edmodo,0,7197,Education
Auto Palmistry Premium,2.99,5,Entertainment
Drift Mania Championship,0.99,3432,Games
Osmos for iPad,4.99,24306,Games
携程旅行-酒店、机票、火车票预订助手,0,312,Travel
"Audible – audio books, original series & podcasts",0,105274,Book
Living Earth - Clock & Weather,2.99,25475,Utilities
Sushi Cat,0.99,8718,Games
Talking Tom Cat for iPad,0,29492,Entertainment
Let's create! Pottery HD,4.99,12787,Entertainment
Files HD Pro - File Manager & Web Browser,4.99,2237,Utilities
Army Fitness APFT Calculator,0.99,108,Utilities
Ringtones for iPhone & Ringtone Maker,0,25403,Music
Zoopla Property Search -UK Homes for Sale and Rent,0,210,Lifestyle
Vestiaire Collective - Pre-Owned Luxury Fashion,0,169,Shopping
Week Calendar,1.99,7447,Productivity
Stack the States?,2.99,12833,Education
Flashlight ?,0,130450,Utilities
ゲーム発展国＋＋,4.99,6,Games
Celebtwin: Celebrity Looks Like Lite,0,1111,Lifestyle
Onefootball - Soccer Scores & Live News,0,3194,Sports
SuperCam_Pro,1.99,1399,Business
カロリー管理（痩せるアプリ）,3.99,10,Health & Fitness
手机百度 - 百度一下你就得到,0,1990,Utilities
Sam's Club: Wholesale Shopping & Bulk Buy Deals,0,8149,Shopping
Splashtop Personal - Remote Desktop,4.99,29376,Business
eBay Kleinanzeigen - Free. Easy. Local.,0,74,Shopping
Viber Messenger – Text & Call,0,164249,Social Networking
Osmos,2.99,14605,Games
shopkick - Shopping Rewards & Discounts,0,130823,Shopping
Decide Now!,0.99,486,Entertainment
"Ringtone Designer Pro - Create Unlimited Ringtones, Text Tones, Email Alerts, and More!",0.99,8946,Music
The Secret of Grisly Manor,0.99,1993,Games
"Find My Family, Friends & iPhone - Life360 Locator",0,43877,Social Networking
Pocketbooth - the photo booth in your pocket,0.99,2377,Photo & Video
"乐视视频-白鹿原,欢乐颂,奔跑吧全网热播",0,1590,Entertainment
The Incident,0.99,2070,Games
ホットペッパービューティー/サロン予約,0,9,Lifestyle
Dictionary.com Dictionary & Thesaurus Premium,3.99,11530,Reference
Autohome-Find new＆Used Cars For Sale,0,194,Lifestyle
OPEN Forum,0,200,Business
Weibo HD,0,16772,Social Networking
Reckless Racing HD,0.99,9,Games
Bloons Super Monkey,0.99,2113,Games
Lotto Results - Mega Millions Powerball Lottery,0,794,News
IKEA Catalog,0,8939,Lifestyle
QQ安全中心,0,308,Utilities
Free IQ Test: Calculate your IQ,0,5,Education
Infinity Blade,0.99,326482,Games
淘宝 - 随时随地，想淘就淘,0,3801,Shopping
Virtual Regatta Offshore,0,209,Games
iSlash,0.99,33868,Games
Ugly Meter?,0.99,13741,Entertainment
"Muslim Pro: Ramadan 2017 Prayer Times, Azan, Quran",0,18418,Reference
Carbs & Cals - Diet & Diabetes,4.99,21,Health & Fitness
2XL Supercross HD,4.99,1588,Games
Fly Delta,0,8094,Travel
Google Authenticator,0,1652,Utilities
CamScanner +| PDF Document Scanner and OCR,0.99,5482,Productivity
Pocket Anatomy - Interactive 3D Human Anatomy and Physiology.,13.99,611,Medical
"Flashlight for iPhone , iPod and iPad",0,26697,Utilities
赶集网-工作生活啥都有！,0,317,Lifestyle
The Sims 3 Ambitions,4.99,14202,Games
Bookshelf,0,2064,Education
QQ同步助手-新机一键换机必备工具,0,746,Utilities
POF - Best Dating App for Conversations,0,52642,Social Networking
NFL,0,27317,Sports
Vernier Video Physics,4.99,76,Education
Instagram,0,2161558,Photo & Video
"Due — Reminders, Countdown Timers",4.99,2554,Productivity
UFO on Tape,0.99,1058,Games
Catan HD,1.99,10382,Games
Polar Plunge ?,0.99,1428,Games
Sunday Ticket,0,3134,Entertainment
央视影音HD-海量央视内容高清直播,0,596,Entertainment
Neuroshima Hex,4.99,4378,Games
"Maps 3D PRO - GPS for Bike, Hike, Ski & Outdoor",4.99,280,Navigation
ArtRage,4.99,1045,Entertainment
Sleep Talk Recorder,0,1110,Utilities
Spider Solitaire by MobilityWare,4.99,11154,Games
中国建设银行,0,258,Finance
Lane Splitter,0.99,44567,Games
Ryder Cup 2016 – Hazeltine National Golf Club,0,3818,Sports
Noteshelf,9.99,7562,Productivity
The Legend of Spookley the Square Pumpkin,2.99,120,Book
BUBBLE BOBBLE DOUBLE,4.99,206,Games
Paprika Recipe Manager,4.99,1755,Food & Drink
ToonCamera,1.99,1037,Photo & Video
Sonic The Hedgehog 4? Episode I,2.99,4755,Games
Cisco AnyConnect,0,825,Business
GroupMe,0,28260,Social Networking
招商银行,0,306,Finance
Jenga,0,32527,Games
"Zappos: shop shoes & clothes, fast free shipping",0,103655,Shopping
"Printer Pro - Print photos, pdf and emails",6.99,15981,Productivity
Sephora Makeup & Beauty App – Insider Tips & Style,0,15593,Shopping
欧路英语词典 Eudic 增强版,2.99,206,Reference
爱奇艺 - 电视剧电影综艺娱乐视频播放器,0,786,Entertainment
Mathmateer?,1.99,1207,Education
Battleheart,2.99,6879,Games
Youku HD,0,5683,Entertainment
Need for Speed? Hot Pursuit,4.99,5059,Games
Instant Heart Rate+: Heart Rate & Pulse Monitor,4.99,10158,Health & Fitness
去哪儿旅行-预订机票酒店火车票特价旅游自由行,0,291,Travel
NOAA Hurricane Center,1.99,31,Weather
CVS Pharmacy,0,35981,Shopping
Age of Zombies?,0.99,14493,Games
AVPlayer,2.99,853,Entertainment
土豆视频HD—高清影视综艺视频播放器,0,990,Entertainment
土豆（短视频分享平台）,0,676,Entertainment
Spider Solitaire Free by MobilityWare,0,128739,Games
The Calculator,2.99,1556,Utilities
Game Dev Story,4.99,12331,Games
French Words for Kids - Learn Letter Sounds,3.99,22,Education
Death Worm,0.99,6527,Games
Cartoon Wars 2: Heroes,0.99,13049,Games
MSNBC,0,3692,News
Super Stickman Golf,2.99,41446,Games
Black Friday 2017 Ads App - BlackFriday.fm,0,8221,Shopping
Hotel Dash Deluxe,0.99,36190,Games
Backbreaker 2: Vengeance,0.99,14491,Games
The Calculator - Free and Easy Calculating!,0,99244,Utilities
Angry Birds Seasons HD,0,75714,Games
Gravity Guy,0.99,35161,Games
"Fooducate - Lose Weight, Eat Healthy,Get Motivated",0,11875,Health & Fitness
招商银行信用卡掌上生活,0,122,Finance
myChevrolet,0,1083,Lifestyle
Puzzle Quest 2,2.99,1575,Games
Mountain Biker,1.99,24,Games
Yurekuru Call,0,53,Weather
Stratego? Single Player,2.99,739,Games
Text Free: Free Texting + Calling + MMS,0,100477,Lifestyle
腾讯新闻-头条新闻热点资讯掌上阅读软件,0,718,News
Merriam-Webster Dictionary,0,16849,Reference
中国银行手机银行,0,192,Finance
Learn English quickly with MosaLingua,4.99,7,Education
Reiner Knizia's Ra,3.99,1114,Games
Guitar Pro,6.99,1218,Music
